Последовательное изложение самим говорящим или пишущим основных этапов его жизни.|автобиография
Музыкальное сопровождение сольной вокальной или инструментальной партии, основной темы или мелодии музыкального произведения.|аккомпанемент
Система взглядов на развитие органического мира, отрицающая биологическую эволюцию вообще или учение о естественном отборе.|антидарвинизм
Строительство барж.|баржестроение
Недостаток художественной образности (в произведении искусства, литературы).|безобразность
Отсутствие рассудительности, склонность к безрассудным поступкам; неосмотрительность.|безрассудство
Безрассудный, опрометчивый поступок.|безрассудство
Сочетание научно-документального материала с элементами художественного повествования в публицистической, научно-популярной и т.п. литературе.|беллетризация
Прозаические повествовательные произведения художественной литературы (в отличие от научной, публицистической и т.п. литературы).|беллетристика
Семейство вечнозеленых или листопадных деревьев, кустарников и лиан, к которому относятся бересклет, краснопузырник и т.п.|бересклетовые
Отсутствие конца, предела (в пространстве и времени).|бесконечность
Пространство, не имеющее видимых пределов, границ.|бесконечность
Девушка-невеста, не имеющая приданого.|бесприданница
Устройство для приготовления бетонной смеси путем перемешивания ее составных частей во вращающемся барабане.|бетономешалка

